Season,Field,WinPercent
2014,Home,46.67
2014,Away,42.86
2015,Home,93.75
2015,Away,87.50
2016,Home,37.50
2016,Away,25.00
2017,Home,68.75
2017,Away,62.50
2018,Home,43.75
2018,Away,25.00
2019,Home,31.25
2019,Away,37.50
2020,Home,31.25
2020,Away,37.50
2021,Home,29.41
2021,Away,33.33
2022,Home,41.18
2022,Away,25.00
2023,Home,11.76
2023,Away,12.50
