Player,Ratio
Precious AchiuwaNYK | PF,13.335
Richaun HolmesWAS | C,13.335
Aaron WigginsOKC | SG,13.335
Dorian Finney-SmithBKN | SF,13.335
Moussa DiabateLAC | C,13.335
Taurean PrinceLAL | SF,12.7
Jalen SmithIND | PF,12.7
Colin CastletonLAL | C,12.7
Andrew WigginsGSW | SF,12.7
Devin VassellSAS | SG,12.7
Troy Brown Jr.DET | SF,12.7
Kenneth Lofton Jr.UTA | C,12.7
Jaylen ClarkMIN | SG,12.7
Evan MobleyCLE | PF,12.7
Alec BurksNYK | SG,12.7
Josh RichardsonMIA | SF,12.7
Jericho SimsNYK | C,12.7
Mouhamed GueyeATL | C,12.7
Brice SensabaughUTA | SF,12.7
RJ BarrettTOR | SF,12.7
Tyrese MaxeyPHI | PG,12.7
Chuma OkekeORL | PF,12.7
Keon EllisSAC | SG,12.7
Brandon Boston Jr.LAC | SG,12.7
Royce O'NealePHX | SF,12.7
Aaron NesmithIND | SF,12.7
Jordan ClarksonUTA | SG,12.065
Julian PhillipsCHI | SF,12.065
Nicolas BatumPHI | SF,12.065
Zion WilliamsonNOP | PF,12.065
Al HorfordBOS | C,12.065
Isaiah JacksonIND | C,12.065
Zeke NnajiDEN | PF,12.065
Danny Green| SG,12.065
Leonard MillerMIN | PF,12.065
Bradley BealPHX | SG,12.065
Jaden SpringerBOS | SG,12.065
Kendall BrownIND | SF,12.065
James Bouknight| SG,12.065
Theo Maledon| PG,12.065
Trayce Jackson-DavisGSW | C,12.065
Dyson DanielsNOP | SG,11.43
Gary Trent Jr.TOR | SG,11.43
Paul ReedPHI | PF,11.43
Ivica ZubacLAC | C,11.43
Isaiah JoeOKC | SG,11.43
Max ChristieLAL | SG,11.43
Luka DoncicDAL | SF,11.43
Nic ClaxtonBKN | C,11.43
Bobby PortisMIL | PF,11.43
Keldon JohnsonSAS | SF,11.43
Dariq WhiteheadBKN | SG,11.43
Karl-Anthony TownsMIN | C,11.43
Jae CrowderMIL | PF,11.43
De'Aaron FoxSAC | PG,11.43
Bennedict MathurinIND | SG,11.43
Tyus JonesWAS | PG,11.43
Josh HartNYK | SF,11.43
Tobias HarrisPHI | PF,11.43
Jalen JohnsonATL | PF,11.43
Trey Murphy IIINOP | SF,11.43
Patrick Baldwin Jr.WAS | PF,11.43
Trey LylesSAC | PF,11.43
Chimezie Metu| C,11.43
Jarred VanderbiltLAL | PF,11.43
Jordan NworaTOR | PF,11.43
Julius RandleNYK | PF,10.795
Jonathan KumingaGSW | SF,10.795
Isaiah WongIND | SG,10.795
Harrison BarnesSAC | PF,10.795
Kessler EdwardsSAC | SF,10.795
Terquavion SmithPHI | SG,10.795
Andre Jackson Jr.MIL | SF,10.795
Miles BridgesCHA | SF,10.795
Grayson AllenPHX | SG,10.795
Johnny DavisWAS | SG,10.795
Sandro MamukelashviliSAS | PF,10.795
Taylor HendricksUTA | PF,10.795
Caris LeVertCLE | SF,10.795
Sidy CissokoSAS | SF,10.795
Davion MitchellSAC | PG,10.795
Kira Lewis Jr.UTA | PG,10.795
Gary HarrisORL | SG,10.795
Josh MinottMIN | PF,10.795
Jaylin WilliamsOKC | C,10.795
Aaron GordonDEN | PF,10.795
Derrick WhiteBOS | SG,10.795
Dante ExumDAL | SG,10.16
Pat ConnaughtonMIL | SG,10.16
Patrick WilliamsCHI | SF,10.16
Harry Giles IIILAL | C,10.16
Giannis AntetokounmpoMIL | PF,10.16
Khris MiddletonMIL | SF,10.16
Saddiq BeyATL | SF,10.16
Walker KesslerUTA | C,10.16
Cedi OsmanSAS | SF,10.16
Trent ForrestATL | PG,10.16
Kris MurrayPOR | PF,10.16
Markquis Nowell| PG,10.16
Wesley MatthewsATL | SG,10.16
Darius GarlandCLE | PG,10.16
Dereon SeabronNOP | SF,10.16
Alex LenSAC | C,10.16
Duop ReathPOR | C,10.16
Noah ClowneyBKN | PF,10.16
CJ McCollumNOP | SG,10.16
Jabari WalkerPOR | PF,10.16
Jae'Sean TateHOU | PF,10.16
Jalen McDanielsTOR | PF,10.16
Jevon CarterCHI | PG,10.16
Grant WilliamsCHA | PF,10.16
Nick RichardsCHA | C,9.525
Keon JohnsonBKN | SG,9.525
Quentin GrimesDET | SG,9.525
LeBron JamesLAL | PF,9.525
Devin BookerPHX | SG,9.525
Jrue HolidayBOS | PG,9.525
Dylan WindlerATL | SF,9.525
Zach LaVineCHI | SG,9.525
Lonzo BallCHI | PG,9.525
Spencer DinwiddieLAL | PG,9.525
Ben SimmonsBKN | SF,8.89
Goga BitadzeORL | C,8.89
Kevin LoveMIA | PF,8.89
Nikola JokicDEN | C,8.89
Kristaps PorzingisBOS | C,8.89
Jaime Jaquez Jr.MIA | SF,8.89
Anthony GillWAS | PF,8.89
Cam ThomasBKN | SG,8.89
Isaac OkoroCLE | SF,8.89
Jalen GreenHOU | SG,8.89
Jayson TatumBOS | SF,8.89
Paolo BancheroORL | PF,8.89
Cory Joseph| PG,8.89
Kobe BufkinATL | SG,8.89
Malik BeasleyMIL | SG,8.89
Aleksej PokusevskiCHA | PF,8.89
Colby JonesSAC | SG,8.89
Moses BrownPOR | C,8.89
Ja MorantMEM | PG,8.89
Luka GarzaMIN | C,8.89
Kentavious Caldwell-PopeDEN | SG,8.89
Furkan Korkmaz| SG,8.89
Paul GeorgeLAC | SF,8.89
Caleb HoustanORL | SG,8.89
Bryce McGowensCHA | SG,8.89
DeMar DeRozanCHI | SF,8.89
Julian StrawtherDEN | SF,8.255
Klay ThompsonGSW | SG,8.255
Lamar StevensMEM | SF,8.255
Delon WrightMIA | PG,8.255
